property1,property2,property3
"http://ames.craigslist.org/ele/4777232083.html","KARAOKE machine (4 disks)","$35"
"http://ames.craigslist.org/ele/4798614365.html","37' Vizio TV","$200"
"http://ames.craigslist.org/ele/4798508723.html","Free tube tv - 32-37 inches, I think",""
"http://ames.craigslist.org/ele/4798554715.html","iPod Nano 8GB","$50"
"http://ames.craigslist.org/ele/4798538903.html","VIZIO E500i-B1 50' 1080p Smart LED HDTV","$300"
"http://ames.craigslist.org/ele/4798428066.html","Kindle","$70"
"http://ames.craigslist.org/ele/4798419056.html","Nike fuel band","$80"
"http://ames.craigslist.org/ele/4798404877.html","Beats studio headphones","$80"
"http://ames.craigslist.org/ele/4797767818.html","HP Pavilion and Asus Laptops",""
"http://ames.craigslist.org/ele/4798279225.html","Like New Lenovo S6000 Idea Tablet w/ 2 cases","$125"
"http://ames.craigslist.org/ele/4766607746.html","VIZIO HDMI TV","$400"
"http://ames.craigslist.org/ele/4798138337.html","White Polaroid Style Camera! + film!","$50"
"http://ames.craigslist.org/ele/4798119522.html","160GB ipod classic","$50"
"http://ames.craigslist.org/ele/4769724637.html","Samsung 32' LED TV","$200"
"http://ames.craigslist.org/ele/4798076260.html","Studio Beats by Dre","$50"
"http://ames.craigslist.org/ele/4797991738.html","12 inch Sony Xplod Subs and box","$300"
"http://ames.craigslist.org/ele/4797446174.html","ASUS DROID TABLET 10.1'","$250"
"http://ames.craigslist.org/ele/4796396129.html","12' Comp, Fusion 10' tube 2 amps",""
"http://ames.craigslist.org/ele/4766753091.html","Canon EF 70-200mm F/2.8 L II IS USM Lens","$2000"
"http://ames.craigslist.org/ele/4797055511.html","Samsung S27D390H 27-Inch Screen LED Monitor","$200"
"http://ames.craigslist.org/ele/4787033135.html","Logitech z-5300e Logitech Z-5300 5.1-Channel Surround Speaker System","$100"
"http://ames.craigslist.org/ele/4796956962.html","LG 55' LED Tv","$630"
"http://ames.craigslist.org/ele/4759665411.html","Logitech wired keyboard","$5"
"http://ames.craigslist.org/ele/4759667355.html","Laptop Charger for Asus F5VL F5Z F6A F6K F6S Adapter-AC/DC Adapter","$20"
"http://ames.craigslist.org/ele/4787383345.html","Sony MDR-370LP/PQ Lightweight Headphones, brand new","$20"
"http://ames.craigslist.org/ele/4783909034.html","Sony MDR-Q68LW headphones, brand new","$25"
"http://ames.craigslist.org/ele/4787384786.html","Franklin TGA-490 12 Language Speaking Global Translator , Brand New","$140"
"http://ames.craigslist.org/ele/4796895933.html","Touch Screen Car Stereo (double din)","$200"
"http://ames.craigslist.org/ele/4796890918.html","Authentic Apple iPad Smart Cover","$15"
"http://ames.craigslist.org/ele/4773184974.html","N600 netgear wireless router","$90"
"http://ames.craigslist.org/ele/4796654741.html","Vizio TV 37 inch","$60"
"http://ames.craigslist.org/ele/4785316591.html","AS IS Ipod touch 4th Gen 16GB","$55"
"http://ames.craigslist.org/ele/4796555607.html","BEATS Studio Headphones","$200"
"http://ames.craigslist.org/ele/4796270579.html","Jawbone UP 24 ONYX 90$ OBO","$90"
"http://ames.craigslist.org/ele/4796358427.html","55 Inch High Definition TV","$165"
"http://ames.craigslist.org/ele/4796282186.html","2 kicker l5 12's and 2 boss 850 watt amps","$225"
"http://ames.craigslist.org/ele/4787432107.html","Klipsch Image One II","$50"
"http://ames.craigslist.org/ele/4759014393.html","Coby Vitruvian Rotating iPod Speaker Dock","$30"
"http://ames.craigslist.org/ele/4795861074.html","Brand new Ps4","$320"
"http://ames.craigslist.org/ele/4756355493.html","Jukebox NSM Performer with CDs","$295"
"http://ames.craigslist.org/ele/4795560154.html","GoPro Hero4 Silver Newest Model in Box","$350"
"http://ames.craigslist.org/ele/4795369620.html","Giant HD TV $100 obo","$100"
"http://ames.craigslist.org/ele/4795372281.html","39' 4K UHD TV","$500"
"http://ames.craigslist.org/ele/4766563189.html","Remote control Helicopter Trex 250se","$100"
"http://ames.craigslist.org/ele/4794946725.html","Dayton Audio Multi-Zone 12 Channel Amplifier","$275"
"http://ames.craigslist.org/ele/4794834498.html","Canon EOS 6D 20.2MP DSLR Camera w/ EF 24-105mmLens","$2245"
"http://ames.craigslist.org/ele/4794807981.html","Alesis MultiMixer 12 USB","$100"
"http://ames.craigslist.org/ele/4794794062.html","3 Behringer XM1800S Mics with 2 XLR Cables","$40"
"http://ames.craigslist.org/ele/4794729691.html","Cisco DPC3825","$60"
"http://ames.craigslist.org/ele/4794695540.html","Westinghouse 50' LED TV","$275"
"http://ames.craigslist.org/ele/4794655626.html","CenturyLink Actiontec C1000A ADSL Modem","$50"
"http://ames.craigslist.org/ele/4760624258.html","Labtec Arena 530-5 piece Surround Sound","$30"
"http://ames.craigslist.org/ele/4762032729.html","Canon Powershot SD1400is ELPH With Case","$50"
"http://ames.craigslist.org/ele/4794320862.html","2 12' kicker subs with mounted amp","$250"
"http://ames.craigslist.org/ele/4784267993.html","Kindle Fire HD - 7in.","$85"
"http://ames.craigslist.org/ele/4784267122.html","Samsung Galaxy Tab 3","$85"
"http://ames.craigslist.org/ele/4768503530.html","Kenwood KDC-MP232 CD Receiver","$75"
"http://ames.craigslist.org/ele/4793909140.html","Mitsubishi 65'HD tv w/entertainment center","$250"
"http://ames.craigslist.org/ele/4793874891.html","Beltronics V940 Radar Detector","$60"
"http://ames.craigslist.org/ele/4793782158.html","iPod Nono 7th generation 16GB black!","$130"
"http://ames.craigslist.org/ele/4770320671.html","Xbox 360 250 gb for sale","$100"
"http://ames.craigslist.org/ele/4789592915.html","Avid USB Vocal Studio Microphone","$30"
"http://ames.craigslist.org/ele/4793165213.html","19inch flat screen dynex tv","$40"
"http://ames.craigslist.org/ele/4792970791.html","skylanders","$200"
"http://ames.craigslist.org/ele/4792854056.html","US Cellular hot spot & home phone","$30"
"http://ames.craigslist.org/ele/4792277141.html","Samsung Galaxy Tab 4 Cover","$20"
"http://ames.craigslist.org/ele/4784708183.html","Harmon Kardon AVR 247 Receiver","$100"
"http://ames.craigslist.org/ele/4791898978.html","65' HDTV for $65","$65"
"http://ames.craigslist.org/ele/4791445743.html","Asus 10 inch Android Tablet ME310T","$125"
"http://ames.craigslist.org/ele/4780084413.html","REDUCED****For Sale: Blue Ray with surround Sound","$225"
"http://ames.craigslist.org/ele/4791135509.html","Microsoft Surface first gen","$150"
"http://ames.craigslist.org/ele/4790776166.html","Polaroid Portable DVD Player","$40"
"http://ames.craigslist.org/ele/4790750706.html","Polk Audio Powered Subwoofer for Home Theater","$100"
"http://ames.craigslist.org/ele/4790681895.html","Official Apple iPad 2 Smart Cover - BRAND NEW","$25"
"http://ames.craigslist.org/ele/4790542562.html","Surface - Touch Cover - Perfect Condition *Price Reduced*","$50"
"http://ames.craigslist.org/ele/4790453006.html","Wii Games and Wii Balance board","$85"
"http://ames.craigslist.org/ele/4789878008.html","Zeki Tablet","$25"
"http://ames.craigslist.org/ele/4789817964.html","Selling new tablet 7 inch","$60"
"http://ames.craigslist.org/ele/4789382932.html","Nikon Coolpix S220 10MP Digital Camera with 3x Optical Zoom","$40"
"http://ames.craigslist.org/ele/4789431972.html","Sony big screen TV","$100"
"http://ames.craigslist.org/ele/4789380406.html","Jabra bluetooth speaker","$40"
"http://ames.craigslist.org/ele/4789389390.html","16GB Zune HD","$100"
"http://ames.craigslist.org/ele/4789388216.html","vizio smart tv 32 inch","$230"
"http://ames.craigslist.org/ele/4789384122.html","16GB 7th Generation Ipod Nano","$100"
"http://ames.craigslist.org/ele/4789339254.html","Sony Blu-Ray/ DVDs player","$50"
"http://ames.craigslist.org/ele/4789279129.html","Pansonic 50' Flat screen","$200"
"http://ames.craigslist.org/ele/4789308779.html","Ipod Shuffle 2nd Gen. 1GB","$30"
"http://ames.craigslist.org/ele/4789273458.html","Brand New!!Pantum P2050 printer","$65"
"http://ames.craigslist.org/ele/4766339224.html","52' RCA HDTV","$50"
"http://ames.craigslist.org/ele/4788994422.html","Canon 24-70 Mark II","$1750"
"http://ames.craigslist.org/ele/4785219786.html","Ti89 for sell","$70"
"http://ames.craigslist.org/ele/4788725695.html","Xbox 360 and kinect","$250"
"http://ames.craigslist.org/ele/4788656389.html","cisco wireless router","$10"
"http://ames.craigslist.org/ele/4788652024.html","Ipad Air","$400"
"http://ames.craigslist.org/ele/4787963644.html","Brand new Beats earbud headphones","$50"
"http://ames.craigslist.org/ele/4787685544.html","Call Of Duty Advanced Warfare Xbox 360","$40"
"http://ames.craigslist.org/ele/4787677138.html","Sanyo 26' flat TV (bought in 2012)","$70"
"http://ames.craigslist.org/ele/4787611506.html","Sony tv","$20"
"http://ames.craigslist.org/ele/4787582615.html","TV (Sony, 24')","$20"
"http://ames.craigslist.org/ele/4787572658.html","Samsung 51' 720p Plasma TV","$500"

